group_no,shared_profile_url,kol_id,platform,handle,gen_name,follower_count,actual_profile_url,keep_or_delete (กรอกเอง),notes (กรอกเอง)
1,facebook.com/MissMuayAof,13,Facebook,@MissMuayAof,MissMuayAof,10000,https://www.facebook.com/MissMuayAof,,
1,facebook.com/MissMuayAof,663,Facebook,รีวิวสาวหมวย,,8900,https://www.facebook.com/MissMuayAof?__cft__%5B0%5D=AZYAfPQgQ9Sap0YoWo6Y9qBKJq0YBIkQym4jEe4V_0JoFWyWtoe-KbXrCpGNUXah7Cx1tu9gEnb_n4JsZzunVSM5vL6QwBzEg3esUx1bMVg2jJw3bApUXkXLvT2PlQqYsL_0039UVe9LPjfQEbwxv5NXpdx1-Bw5dMbtJ8uqqEXJZP2AHP7EvM6kxqit9ELBOYY&__tn__=-UC%2CP-R,,
2,tiktok.com/@pairpairphan,341,TikTok,pairpairphan,pairpairphan,29500,https://www.tiktok.com/@pairpairphan,,
2,tiktok.com/@pairpairphan,761,TikTok,แพพัน 🏡 (IG.pairpairphan),pairpairphan,26000,https://www.tiktok.com/@pairpairphan,,
2,tiktok.com/@pairpairphan,17,TikTok,@pairpairphan,pairpairphan,,https://www.tiktok.com/@pairpairphan?_r=1&_t=ZS-95OfNnKeuvv,,
3,facebook.com/reviewfeelchan,20,Facebook,@reviewfeelchan,reviewfeelchan,15000,https://www.facebook.com/reviewfeelchan,,
3,facebook.com/reviewfeelchan,659,Facebook,รีวิวฟิลฉัน,ReviewFeelChan,15000,https://www.facebook.com/reviewfeelchan/,,
3,facebook.com/reviewfeelchan,660,Facebook,รีวิวฟีลฉัน,,13000,https://www.facebook.com/reviewfeelchan/,,
4,tiktok.com/@delight_athome,108,TikTok,delight_athome,delightathome,83500,https://www.tiktok.com/@delight_athome,,
4,tiktok.com/@delight_athome,685,TikTok,สุขใจที่บ้านเรา,,77100,https://www.tiktok.com/@delight_athome?is_from_webapp=1&sender_device=pc,,
5,tiktok.com/@iammind_t,159,TikTok,iammind_t,iammindt,23900,https://www.tiktok.com/@iammind_t,,
5,tiktok.com/@iammind_t,702,TikTok,อยู่บ้านกับมาร์ติน 🏡✨,U Baan Gub Martin,19000,https://www.tiktok.com/@iammind_t,,
6,tiktok.com/@jam28185,575,TikTok,น้องแจมแยมส้ม เที่ยวเหนือ,NongJamYamSomThiaoNuea,25200,https://www.tiktok.com/@jam28185?fbclid=IwY2xjawQgeNNleHRuA2FlbQIxMABicmlkETE1aFZ5MnZ3Uk1sSjk2eGxYc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHlRSIs3O-QwhUv3q9cCSMbgisHeeUVeBWUFy4NW5_9tVQybliB6UcRlGrl-y_aem_5YO3xOlMYFkg29v41cMvAw,,
6,tiktok.com/@jam28185,173,TikTok,jam28185,jam28185,2500,https://www.tiktok.com/@jam28185?fbclid=IwY2xjawQeEgVleHRuA2FlbQIxMABicmlkETFRWUkxTzR5WUFkOE01MnBHc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHr_7uKS_r3BIuTr3i6s0ZBFtdyfCDwY6fqlULEEtoao3ApgDCkk4gsB1pcdg_aem_7nueMnh9-e1PDN2KFcoQdg,,
7,tiktok.com/@jikthawineek,782,Facebook,แม่ว่าดี,MaeWaDee,150000,https://www.tiktok.com/@jikthawineek?lang=en,,
7,tiktok.com/@jikthawineek,765,TikTok,แม่จิ๊ก Story,MaeJigStory,110000,https://www.tiktok.com/@jikthawineek,,
7,tiktok.com/@jikthawineek,181,TikTok,jikthawineek,jikthawineek,109800,https://www.tiktok.com/@jikthawineek,,
8,tiktok.com/@jsee236,193,TikTok,jsee236,jsee236,418000,https://www.tiktok.com/@jsee236,,
8,tiktok.com/@jsee236,720,TikTok,เจ้ศรีปากอ้า,JaeSriPakA,417900,https://www.tiktok.com/@jsee236?lang=th-TH,,
9,facebook.com/katevariety.silentvlog,201,Facebook,Kate Variety แม่บ้านมินิมอล VDO,KateVarietyMaebanMinimalVDO,32000,https://www.facebook.com/katevariety.silentvlog,,
9,facebook.com/katevariety.silentvlog,202,Facebook,Kate Variety_VDO,KateVarietyVDO,31000,https://www.facebook.com/katevariety.silentvlog,,
10,tiktok.com/@lata_arss,451,TikTok,Ta Diary,TaDiary,7347,https://www.tiktok.com/@lata_arss,,
10,tiktok.com/@lata_arss,224,TikTok,lata_arss,,6000,https://www.tiktok.com/@lata_arss,,
11,facebook.com/manimatravel,246,Facebook,manimatravel,manimatravel,83000,https://www.facebook.com/manimatravel,,
11,facebook.com/manimatravel,644,Facebook,มานี่มา : manima travel VDO,ManimaManimaTravelVDO,83000,https://www.facebook.com/manimatravel,,
11,facebook.com/manimatravel,643,Facebook,มานี่มา : manima travel,ManimaManimatravel,75000,https://www.facebook.com/manimatravel,,
12,tiktok.com/@mommyjaahome,282,TikTok,mommyjaahome,mommyjaahome,6943,https://www.tiktok.com/@mommyjaahome,,
12,tiktok.com/@mommyjaahome,586,TikTok,บ้านจ๋า,,6700,https://www.tiktok.com/@mommyjaahome,,
13,facebook.com/mookdachaaa,661,Facebook,รีวิวระดับชาติ,,265000,https://www.facebook.com/mookdachaaa?__cft__%5B0%5D=AZZQ_aTqUK17pf2mBErVhiv-gtlGygb6tT3r8h8SlJk9Idi6LflBctou57K8sSEQsN2zKtN5Zabbq6EiQ5OXpNovj23mt6RUeFK-IQLnRuu9oJ2_XnJVjUj1x1WYLzhO8Tkg7GxSam5FLHJgAnvHTuU5VkEMi2XgTyYpfAbf5d6WcEtktE5YyFyuJJRP6tdUp_I&__tn__=-UC%2CP-R,,
13,facebook.com/mookdachaaa,285,Facebook,mookdachaaa,mookdachaaa,260000,https://www.facebook.com/mookdachaaa,,
14,tiktok.com/@niiineeew,314,TikTok,niiineeew,niiineeew,31400,https://www.tiktok.com/@niiineeew,,
14,tiktok.com/@niiineeew,770,TikTok,แม่บ้านกิ๊งก่องแก้ว,MaebaanGingGongKaew,31100,https://www.tiktok.com/@niiineeew,,
15,tiktok.com/@nongjinj,320,TikTok,nongjinj,nongjinj,154200,https://www.tiktok.com/@nongjinj,,
15,tiktok.com/@nongjinj,784,TikTok,แม่เรียกเจ๋งเจ๋ง,,151000,https://www.tiktok.com/@nongjinj,,
16,tiktok.com/@omployy,334,TikTok,omployy,,31000,https://www.tiktok.com/@omployy,,
16,tiktok.com/@omployy,333,TikTok,omploy,,30900,https://www.tiktok.com/@omployy?is_from_webapp=1&sender_device=pc,,
17,tiktok.com/@ployvatin,778,TikTok,แม่พลอยวาทิน,MaePloyWatin,1700000,https://www.tiktok.com/@ployvatin,,
17,tiktok.com/@ployvatin,368,TikTok,ployvatin,,1300000,https://www.tiktok.com/@ployvatin,,
18,tiktok.com/@porbaanreview,378,TikTok,porbaanreview,porbaanreview,11600,https://www.tiktok.com/@porbaanreview,,
18,tiktok.com/@porbaanreview,629,TikTok,พ่อบ้านรีวิว,,11400,https://www.tiktok.com/@porbaanreview,,
19,facebook.com/retouchhome,397,Facebook,Retouch Home,RetouchHome,53000,https://www.facebook.com/retouchhome,,
19,facebook.com/retouchhome,399,TikTok,retouchhome,retouchhome,52800,https://www.facebook.com/retouchhome,,
19,facebook.com/retouchhome,398,Facebook,Retouch Home_VDO,RetouchHomeVDO,11000,https://www.facebook.com/retouchhome,,
20,facebook.com/rewiewww,400,Facebook,Review รีวิ้ว,Reviewreview,58000,https://www.facebook.com/rewiewww?mibextid=wwXIfr&rdid=8JFtM3BVvMHDZBwA&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1JXWzQ4bxF%2F%3Fmibextid%3DwwXIfr,,
20,facebook.com/rewiewww,403,Facebook,Rewiew รีวิ้วว VDO,RewiewReviewVDO,58000,https://www.facebook.com/rewiewww?__cft__%5B0%5D=AZavIJ5295Ir5w2VmT3q2dLW4g1orEB-1yPz7jaxpxh5r9YBTrZ54CTqhyE6PiHQs8nFNtbCYrEK0LVhsg5xiBwV_JSfpPoBOVWUrVRbidvO_pSKGooWDKDynM6yr5YDdeM2F8b3YDZhTrKoHwtJH79WzanIIFu9YVyMN7oovXTKQiWhJ2gORaKUypj_KIu-bs9uK3FucilW29ZePx9Exuzf&__tn__=-UC%2CP-R,,
21,facebook.com/salinstory,823,Facebook,𝙎𝙖𝙡𝙞𝙣 𝙎𝙩𝙤𝙧𝙮,𝙎𝙖𝙡𝙞𝙣 𝙎𝙩𝙤𝙧𝙮,174000,https://www.facebook.com/salinstory,,
21,facebook.com/salinstory,825,Facebook,𝙎𝙖𝙡𝙞𝙣 𝙎𝙩𝙤𝙧𝙮_VDO,SalinStoryVDO,160000,https://www.facebook.com/salinstory?__cft__%5B0%5D=AZZYf-GgjDZYcJebkrb407R5EscVh37Du2-k9SxwGOxNnFCF9Il3mal33oIDNBq8BCXwDVnab-remrMij4nLXytUGRaMvQ02QYEDUXcbXIuh_pnn2gZS2EX1jLoQQ4K0ZlpWiROuSUkvtsHLJyHKfm_dox3vB4WDtpcEw6n-CMuBzOqcUinKaZVf6lERJ6SOiCT_Mj6IwfS7GeSrLx1dCYww&__tn__=-UC%2CP-R,,
21,facebook.com/salinstory,824,Facebook,𝙎𝙖𝙡𝙞𝙣 𝙎𝙩𝙤𝙧𝙮 VDO,,158000,https://www.facebook.com/salinstory,,
21,facebook.com/salinstory,412,Facebook,Salin Stoy,SalinStoy,117000,https://www.facebook.com/salinstory,,
22,tiktok.com/@spoonandfork.kitchen,438,TikTok,spoonandfork.kitchen,,114300,https://www.tiktok.com/@spoonandfork.kitchen,,
22,tiktok.com/@spoonandfork.kitchen,437,TikTok,spoonandfork,spoonandfork,114000,https://www.tiktok.com/@spoonandfork.kitchen,,
23,tiktok.com/@tidyytales,472,TikTok,tidyytales,tidyytales,11000,https://www.tiktok.com/@tidyytales,,
23,tiktok.com/@tidyytales,596,TikTok,ปปไม่ชอบล้างจาน🫧🧽,Popmaichoblangjan,11000,https://www.tiktok.com/@tidyytales,,
24,tiktok.com/@tis.tid.baan,474,TikTok,tis.tid.baan,tistidbaan,9233,https://www.tiktok.com/@tis.tid.baan,,
24,tiktok.com/@tis.tid.baan,551,TikTok,ติสติดบ้าน🏡,tistidbaan,9130,https://www.tiktok.com/@tis.tid.baan?lang=th-TH,,
25,facebook.com/jampongandbros,528,Facebook,จัมปงแอนด์โบรว์_VDO,JampongAndBrowVDO,13000,https://www.facebook.com/jampongandbros,,
25,facebook.com/jampongandbros,527,Facebook,จัมปงแอนด์โบรว์,jampongandbros,,https://www.facebook.com/jampongandbros,,
26,facebook.com/CHARMMYKEKIEZ,538,Facebook,ชาร์มมี่ กีกี้,,45000,https://www.facebook.com/CHARMMYKEKIEZ?__cft__%5B0%5D=AZZDm2x4OjGnitde1qnCRm3jU6eblD3tqMvg_eILLrjBGFGLhav8bEfBsAcqxESCSitg6jWfZ8LXo0VSfeStKzYPoclKs2YEyAuB4mTwT8at09EN6Qq03kidUsJxW60nRlJJ72VQxUqqXzvbmV9PUTdmVBln5Coe3H2UMDCjYifHnjLdNnhiEWBcJaYFtAzso7mp1OyVqN24YFUIjHauK7jA&__tn__=-%5DC%2CP-R,,
26,facebook.com/CHARMMYKEKIEZ,537,Facebook,ชาร์มกีกี้,Chramkiki,43000,https://www.facebook.com/CHARMMYKEKIEZ,,
27,facebook.com/profile.php?id=100078269920436,818,Facebook,𝙆𝙖𝙧𝙣 𝙎𝙩𝙤𝙧𝙮 ; บ้านของกาญจน์,KarnStoryBaankhongKarn,48000,https://www.facebook.com/profile.php?id=100078269920436,,
27,facebook.com/profile.php?id=100078269920436,580,Facebook,บ้านของกาญจน์,bankhongkarn,,https://www.facebook.com/profile.php?id=100078269920436,,
27,facebook.com/profile.php?id=100078269920436,581,Facebook,บ้านของกาญจน์_VDO,BaankhongkanVDO,,https://www.facebook.com/profile.php?id=100078269920436,,
28,facebook.com/ourhouse.th,821,Facebook,𝙊𝙪𝙧 𝙝𝙤𝙪𝙨𝙚 : บ้านนี้มีเรา,OurhouseBaanNeeMeeRao,122000,https://www.facebook.com/ourhouse.th,,
28,facebook.com/ourhouse.th,588,Facebook,บ้านนี้มีเรา,Ourhouse,120000,https://www.facebook.com/ourhouse.th,,
28,facebook.com/ourhouse.th,822,Facebook,𝙊𝙪𝙧 𝙝𝙤𝙪𝙨𝙚 : บ้านนี้มีเรา-VDO,OurhouseBannuemeeraoVDO,120000,https://www.facebook.com/ourhouse.th,,
29,facebook.com/mamalikescafes,605,Facebook,ป๊าม๊าชอบอยู่บ้าน,mamalikescafes,74000,https://www.facebook.com/mamalikescafes/,,
29,facebook.com/mamalikescafes,607,Facebook,ป๊าม๊าอยู่บ้าน VDO,PaMaYuBanVDO,72000,https://www.facebook.com/mamalikescafes,,
29,facebook.com/mamalikescafes,606,Facebook,ป๊าม๊าอยู่บ้าน,,24000,https://www.facebook.com/mamalikescafes/,,
30,facebook.com/porbaanreview,630,Facebook,พ่อบ้านรีวิว Lazada & Shopee,,92000,https://www.facebook.com/porbaanreview,,
30,facebook.com/porbaanreview,631,Facebook,พ่อบ้านรีวิว Lazada & Shopee_VDO,PhobanReviewLazadaShopeeVDO,91000,https://www.facebook.com/porbaanreview,,
31,facebook.com/profile.php?id=100083420763172,647,Facebook,มีตังค์ไหมครับพ่อ VDO,MeetangmaikrubporVDO,11000,https://www.facebook.com/profile.php?id=100083420763172,,
31,facebook.com/profile.php?id=100083420763172,648,Facebook,มีตังค์ไหมครับพ่อ_VDO,MeatangmaikhrapporVDO,11000,https://www.facebook.com/profile.php?id=100083420763172,,
32,facebook.com/bonamydaughter,652,Facebook,ยัยหมวยโบน่า,,13000,https://www.facebook.com/bonamydaughter?__cft__%5B0%5D=AZahLTM8fDZyMcBAe_uc7UgGq_V4uPCMX3ool0X6YnJVyK41KVZqu_BmfNFksP6t9xcVZkMn_Iu5SFF7ad2_3OlH4hgdTvuuFXN-fLmAK3RVn4n-QqlYX7p6VLYSHr1UZkX9-c_Bk7Sp1QANwD7K5vL8HIXRYOWS5Ecr6a-wM0Wo7TZjF-rr72KRlakBJ1Z0tAI&__tn__=-UC%2CP-R,,
32,facebook.com/bonamydaughter,653,Facebook,ยัยหมวยโบรา,bonamydaughter,,https://www.facebook.com/bonamydaughter,,
33,facebook.com/fun.bygreen,742,Facebook,เลี้ยงลูกสนุกดี By เเม่กรีน VDO,LiangluksanukdibymaegreenVDO,372000,https://www.facebook.com/fun.bygreen,,
33,facebook.com/fun.bygreen,743,Facebook,เลี้ยงลูกสนุกดีVDO,LiangluksanookdeeVDO,370000,https://www.facebook.com/fun.bygreen,,
34,facebook.com/lokbaiyai.th,802,Facebook,โลกใบใหญ่ของอองรี_Photo,LokBaiYaiKhongHenriPhoto,210000,https://www.facebook.com/lokbaiyai.th?__cft__%5B0%5D=AZZEiPLEdvr05PnXHIh5shFcIUn_bCUvXRw3XfZO5rKFKvCLHroLP-Abfln2FWiGvlzupEqJheDUzmIF2aanirOvXiseTYCJaPXvRDLUVblQgJMuJ6NJ_Y42Sq1iTnmAXOeshM9CSsasvGaHGCVfzOke359UsGpucH88l_tRvb-5lRAjcI_skRB0yretQMhQVLA&__tn__=-UC%2CP-R,,
34,facebook.com/lokbaiyai.th,801,Facebook,โลกใบใหญ่ของอองรี,,206000,https://www.facebook.com/lokbaiyai.th,,
